userName,at,content,score,thumbsUpCount
A Google user,2020-03-02T12:35:32,"Latest update 20.3.0 broke ordering of entries. Used to move to bottom of list when revised, which is super helpful when organizing workouts, but they do not move now. Please revert back to previous functionality, as it always been. I love this app! It keeps me on track and honest about my caloric intake. I'm amazed at the huge database content, it's got just about everything in the grocery store and so many restaurants.",5,0
Princess of Yahweh,2024-09-05T15:47:22,"Update: the features that made this app AMAZING are no longer free. I understand, but due to that, I no longer use this. Love how I can create my own recipes and it calculates the calories, protein, carbs and types of fats per serving. Although I wish there was some way of editing those recipes in case I find good substitutions or change serving sizes. The scanning option is soooooo convenient for food items!!!!! Overall, best app for keeping track of my food intake",5,1
Robert Dillon,2025-07-07T03:30:16,"Update: Since MFP's changes to move formerly standard features behind the premium paywall, I've heard from friends that it's less good and doesn't integrate with other apps until you pay. So this review is for the premium version. YMMV Really enjoy this health tracker. Mostly use it for tracking calories. Lots of foods in its list, which makes nutrition easy to track. Lists many restaurant menus as well, so I don't need to go to their websites.",5,4
Hannah Howard,2024-03-08T20:35:19,"Good app, would be better if some things were free and not needing premium. It's kind of difficult to find the food I ate, considering needing more options, but that's not a big deal. But when I can't find the food, I have to 'make one', and it gets annoying when it asks me for more information that is clearly optional. Otherwise, good app to keep track of myself.",5,49
amanda reeves,2024-03-21T04:15:57,I was under the impression I pay 20 dollars a month for no ads and yet I get ads saying to go premium. However I'm getting the same stuff I got when I had the free trial of the pay version. Other than that I don't have any problems. It's accurate and easy to navigate. I haven't tried the groups yet but the food diary and the macros are stellar. Will re rate 5 * when I can get an answer if my version is paid or not. EDIT I read further on down and it seems there is a glitch being worked on. 5*!,5,137
Kendra Coy,2024-04-18T14:35:44,"Just writing a review so it stops asking me. it's actually a good app. I haven't had any pesky ads, the pop-up only appears if you click something that requires $$. Searching for food is very easy, and it tells you if it's a certified food they logged. You can adjust portions to all sorts of measurements. It saves all your logs, so you can easily scroll though and just quick add your most common foods. So far, not disappointed and have been able to look at my eating habits differently",5,198
Tameca McClain,2021-03-30T17:59:27,"I love this app and use it daily to track macros. It has a lot of great features such as customized meals and a huge selection of healthy recipes. It is great for accountability. This app has changed what I put into my body because you can set limits for carb, protein, and fat intake. My problem area was unhealthy snacks. If you sign up for a free trial, make sure it is the one you want. It was a hassle for me to get reimbursed for a yearly subscription.",5,6
Michael Donofrio,2024-04-30T03:08:36,"Used to be a free user, happy to pay for it now. Years ago, as a free customer I lost 25 pounds in a year and it never felt like a diet. This app keeps simply keeps a running total of your calorie consumption so you know where your empty calories are hiding. Eat, scan a bar code, repeat. Connect up a step tracker and you earn a bit more. turns out I had too many calories in something I eat every day. Only a week of usage and I've identified the problem. Happy to pay since it works so well",5,0
Corey Davis,2020-05-11T16:14:47,"Used this off and on for a while. For tracking nutrition and calories, this is the best bang for your buck there is. A few advertisements for a quality tracking program is a pretty good deal. You still have to take some of the nutrition information with a grain of salt since most of them are crowd-sourced, but I'm just trying to estimate to begin with to better inform nutrition choices, so getting down to the exact calorie isn't vital. I like it!",5,1
Kathryn Dudley,2020-11-24T16:18:37,"Calorie counting has never been easier. Gone are the pieces of paper with scratched out lines. This app makes history-keeping, tracking, and even math super easy. Love the option to scan bar codes, track water, and exercise. I didn't even mention the comprehensive food database and ability to enter recipes for calorie information. 👍",5,3
A Google user,2018-10-21T20:02:42,"This app allowed me to give up Weight Watchers and save me $20+ a month. Does all I need it to do. I'm able to tweak some features (calorie allotment, but not that much, and ratio of carbs/fat/protein), and it's great when I can see at the end of the day unused calories left over. Can import recipes & sync to my Fitbit. I'm not an intense athlete so some people are grumbling about some of the features that were once free but now you need a premium membership. But for me it's great!",5,1
Will Bagley,2020-06-01T23:21:08,"This application is great for tracking calorie intake. The food database is comprehensive and usually accurate. No application is perfect, but it's hard to find things wrong with this one. Even so, a way to categorize and organize recipes would be nice for people who cook on a regular basis. Not everyone meal preps the same old things.",5,0
Michael Jimenez,2020-11-10T20:58:54,"Useful app. Free version does everything you need, helps you track calories, macronutrients, micronutrients, keeps track of your weight. The only thing I cant figure out is how they logged the crack rock they must be smoking if they think anyone's going to pay $20 a month for a premium membership that does little more than it's basic membership.",5,1
Wes Beverly,2023-08-21T23:06:19,"Really great resource to help with your healthy lifestyle goals! Love how you can scan barcodes from food packages or search for other items without a barcode. However, this app gives you do much more than just food tracking! Recipes, Workouts, all kinds of cool extras. I did sign up for the premium app, but it's so work it to me! I paid for the 1 year option. Please keep up the high level of quality!",5,1
Rochelle Jeppson,2022-01-25T15:38:32,"Update: Over the years, I have tried so many fitness apps, some free and some quite expensive, but I always compare them to MyFitnessPal. They just don't come close. I love how sensitive the scanner is, how easy it is to search and log my foods, and how it has evolved over time to include plans and articles to read. In my opinion, this is the best fitness app out there! It has helped me to lose 20lbs!",5,1
Cheryl Lee Howey,2020-06-17T18:01:39,"My Fitness Pal (premium)is the best app I have found! It's very easy to scan food items and enter them into my diary, see my calories, macros, and nutrients, keep track of my water, and keep track of my exercises. The articles are interesting and very informative. I recommend this app for everyone who wants to keep track of their food, water, and exercises. Excellent app!",5,3
Kae Bruch,2021-11-14T17:14:20,"Great tool! Helps you easily watch intake of protein, calories, carb, and fat. Being able to set caloric intake and macro ratio goals and then navigate between the food diary, nutrition, and macros allows one to make better choices while still eating a variety of foods. Wish it interfaced with more of the less expensive fitness devices.",5,3
A Google user,2019-02-19T02:39:00,"Great app! Its easy to use and very intuitive. It even remembers commonly eaten foods and the usual quantity you've entered in the past. One critique is that the calorie information is not very reliable. Unless it has been verified (which is indicated by a green check mark) you really need to look it up and double-check. My biggest complaint, however, is the price of the unlimited version!! Many apps are purchased with a one time fee. My Fitness Pal is ONE HUNDRED DOLLARS PER YEAR. Ridiculous!!",5,0
Jennifer Anne,2022-02-09T22:02:38,"I love how everything you can imagine is in here ... I have yet to stump the database. It talks to Map My Walk too, so it adjusts your calories for the day. I like that you can even plug in the ingredients for your own recipes, too, so you can figure out nutrition info for them. Haven't found any bugs in the program yet either. UPDATE: I have found a couple of things that stump the program, but they're products from other countries with non-English labeling, so can't fault the app!",5,0
A Google user,2019-01-16T20:39:53,"Between this and my Fitbit Versa, I have a great way of tracking my progress, nutrition, daily activity, etc. The interdace is intuitive and easy to use. The food database is great, including some of my favorite vegan restaurants and snacks. Wish there was a vegan filter for the recipe feed, but otherwise it's a great tool.",5,1
Carissa Sosa,2024-03-11T20:41:44,"I've used this app for years to track my food intake, the free version. Allows me to closely track my calories, and watch my overall carbs, proteins, and fats which is perfect for me! It has a lot of the foods I eat in here to access them and add them easily. The recipe import process is super easy also! The only downside is you cannot modify or review the ingredients on the app, but you can on the full version online.",5,11
A Google user,2018-11-05T05:06:59,"Just began using this app again. I am so pleased! The food entries have evolved to perfection!! The data base has expanded! The nutrient data is accurate! Vitamin supplements are there! I used to spend a lot of time checking the accuracy and reporting the errors, along with making new, accurate entries for my foods. It was tedious and time consuming, but I knew it was worth it. Thanks everyone for adding to the data base! Phenomenal. I'd give it 10 stars. ✨",5,1
A Google user,2020-02-24T23:47:54,"I have had an easy time tracking my calories with the app. I have tried keeping track my own but this is much easier. I love how the app brakes down what my other goals for the day should be. (Ex. Fat, sugar, sodium...ect.) Being able to scan the barcode is a nice feature so that your not scrolling trying to find the perfect match. After you click that you have completed logging your food for the day, the app tells you what you could weigh in 5 weeks if every day resembles that one. Motivation!",5,1
Angie Bach,2020-08-10T18:05:21,"I have had no problems at all with this app. I don't even use all of the features and when I find something new, such as how many carbs, protein and fats you've eaten for the day, I'm even loving this app more. It even allows you to enter a recipe and it calculates the calories per serving for you.. how great is that?! I found that it allows you to enter your water intake and it also syncs with different exercise apps and adjusts your calorie requirements according. This app offers so much!",5,62
Niecy Conley,2024-11-21T21:13:44,"I only have the free version. And does everything needed. My only goal is to simply track my calories to ensure I stay on track for the day. I don't get into counting macros/ tracking carbs or anything that complicated. So I'm not too sure how those features work. But if you are a beginner or just looking to be more mindful about calorie consumption. Works perfectly Also, syncs great to Google Fit, so that's cool as well. 🙂",5,229
bobby mobetta,2024-05-13T14:01:26,"I'm using the full paid version of the app combined (and under the advisement) of a nutritionist. I've found that the process feels a bit daunting at first (definitely not insurmountable, but not ""an automatic breeze) however I tried coming home from the grocery store and scanning everything in as I put it away, now I had it all stored automatically to call up at any given meal.. excellent! Once I was in a routine, I noticed it's very help, accurate and a big part of me reaching my goals!",5,93
Kevonte Turnley,2022-05-01T19:56:02,"*Update: the MyFitnessPal team was aware of these issues and took the steps to correct the issues and keep people updated. I have changed my review because the issues I had were fixed in a timely manner and the team took the time to post updates. Original: App became completely buggy. For whatever reason the app started messing up yesterday and I couldn't add my recipes online or on the app. So I tried again today, and I couldn't even log my meals. So I uninstalled, tried clearing cache and data, reinstalled, logged out and back in, etc. (not necessarily in this order). Now when I log in, none of my online is attached aside from my username and starting weight. Meals, recipes and history, all gone. They appear if I log in online, but not the app.",5,3
Elizabeth,2023-01-30T23:51:34,"*Update: I was just able to log in again! Thank you for the prompt response and for your efforts to fix the issue! Great customer service! 5 stars! 😊😊😊 (I've been enjoying this app overall, and I've lost at least 7 pounds since starting to count my calories the beginning of January! However, today all that's changed. The app will not load. I uninstalled and installed it, and it STILL is not loading. Please fix so I can give 5 stars!!! Thank you!)",5,1
A Google user,2018-09-14T00:01:12,"Only app I have ever paid for premium options, and it was worth every penny. I track carbs, fats, proteins, and calories intake. It allows me to keep a detailed log of my workouts and subtracts the estimated amount of calories burned from my total consumed from the day, if I want it to. So versatile. I can do quick adds of foods not listed, my own meals, and quickly find my frequently eaten foods. And, you can add friends and comment on each other's progress for added support! I love this app and I have already, and will continue to recommend it to anyone else that wants help with their fitness. The only suggestion I would make is to be able to track vitamins B and D, but that's just me being super picky. Lol",5,0
Vickie Schafer,2020-08-31T17:52:59,I used this app 5 years ago and lost 50 pounds. Sadly I gained 40 of it back. I can't recommend this app enough. It keeps you focused and on track. It's even better than the last time I used it especially for tracking food. Now you can scan the package and you have all the nutritional information. How cool is that? It also syncs with my Garmin bracelet to include my activities. Week one and I've lost 4 lbs! Keep up the great work!,5,5
A Google user,2019-01-27T23:12:54,Upgraded to My Fitness Pal Premium to let the app do the work of computing the macros. It's been awesome. Not only in tracking but giving you all the data needed to make appropriate nutritional decisions instantly with just a few clicks. Have not had any problems and the learning curve is simply intuitive. Try it free for 30 days!,5,2
A Google user,2018-10-22T05:10:27,"Once you get used to it, this app is very user friendly. I got a new Fitbit, and I opted to link myfitnesspal to the Fitbit app instead of logging it all there. The interface of myfitnesspal is easier, and there are more food options from what I could tell. I love that I can create meals and recipes! Not only does it help me track more accurately, but I can reference the recipes to make them again!",5,1
A Google user,2019-01-22T20:50:24,"5 years ago I lost 40lbs using this app. At the same time I quit smoking....doctor couldn't believe it! Got lazy over the years and gained some of my weight back. Starting using the app again January 1 and have lost 10lbs already! The app holds you accountable and forces you to make good choices. Once you get a week or two in and start to see the results, it becomes a good habit!",5,4
Adam Peters,2022-06-08T14:11:02,"Updating my review. Don't know if it was just a glitch with the update (lost my ability to view and track macros) but my macros tracker is back up and running. Definitely recommend this app to everyone. It has one of the best food databases out there and literally makes it easy. 100% improvement from any other app I've ever used and 100% easier than pen and paper. With the power this app unleashes the only thing missing is your dedication. Get tracking, get moving.",5,3
A Google user,2019-01-06T03:20:15,"1. Great food/calorie tracker, comprehensive database; 2. Syncs with most fitness tracking devices and apps; 3. Now syncs with SHealth!! Bought premium once that happened; 4. Still gives 0 calorie credit for weightlifting, so no matter how much time you put in at the gym, only the cardio affects your calories--unless you put the weights into the other fitness tracker, but MFP is a little more comprehensive about specific exercise tracking. Depends what you're looking for.",5,0
A Google user,2019-11-28T12:55:19,"I use the free version to follow the ketogenic diet. So far it works great. It even feeds the calorie and exercise info to my Fitbit so I can chart my caloric burn along with my heart rate. I love the ease of entering multiple food items and the vast number of foods already loaded, but the barcode scanner makes it very easy to add new ones as well.",5,4
A Google user,2018-11-29T13:39:25,"Great app. Great articles and recipes. Amazing database with the ability to scan foods. Only thing they need to improve is the goals tab, which only give you one number for blood pressure, and could include more measurable variables, like resting heart rate, or hip, or cholesterol. A personal coaching option would also be nice.",5,4
A Google user,2020-02-07T15:21:15,"I had used the Lose It app RELIGIOUSLY before this, and was frustrated that you weren't able to edit homemade recipes that you entered (say, if you made it with beef one time, and maybe just had chicken on hand for the next time you made it). It sounds like a little detail, but for someone who cooks a lot, it was a real pain. So glad you can do that and more with this app!1",5,2
Tracy Larson,2020-09-24T01:15:57,By far the best and easiest nutrition tracker I have ever used. The bar code scanner makes tracking ridiculously easy. I have yet to find a food that isn't in the data base (even 5 guys bunless bacon cheese burger). Links with my samsung watch so tracking exercise is super easy too. I have just started using the premium app and so far it is worth the money.,5,3
A Google user,2018-12-04T22:34:07,"VERY user friendly. Especially love the fact that you can scan in your food labels and simply type in or select portion size. You can also add your own recipes and save for future selection so you don't have to itemize every time. The end of day nutritional summary is amazing and has made me realize how many empty calories I was consuming, and how much sugar I was eating!! I'm learning more and more every day how to eat healthier!",5,2
AL,2020-06-19T17:49:22,This Can help you get your food house in order. I like the built in scanner to easily log harder to find things in the data base such as wine or whiskey. I used to think i was staying in my 2000 calorie zone but now i know exactly where I'm at. I can also log certain exercises into it to account for those additional allotted calories. Although that is limited to strength training generic or a set cardiovascular constant workout. That calculation could use some improvement to its data.,5,1
A Google user,2019-03-14T22:50:05,"Easy to use to track food consumption. Unlike the Diabetes app I used to use, the food lookup and barcode scanner aren't neutered. So far I've found each food I need to look up. It works with Under Armor Record to adjust for calories burned during workouts, and keeps me on track with gentle warnings when I'm getting too close to a fat, or sugar limit.",5,1
Susan Phillips,2020-04-28T23:14:33,Best app for counting macros!! You do have to pay to gain access to marco counting but it is worth it. I have yet to find a barcode the scanner does not recognize and I buy plenty of international and off brand products. I have a smart watch that syncs cardio activity but have to do a little research on your own for weight training.,5,1
A Google user,2019-06-28T16:15:38,"I love this app. I have been using it for years. It's easy to use and keeps getting better with updates and features. Since there is such a large community, the food database keeps growing and makes it easier to accurately log food. It syncs with various apps and devices so it's awesome that I can have everything all in one place. One of my favorite features is being able to create my own recipes and use them when logging my meals. Being able to tailor the macros is also a huge bonus!",5,1
A Google user,2019-01-10T19:19:04,"I haven't gotten the pro version yet, i wanted to test out the regular app first. I've been using it for 10 days. So far I absolutely LOVE this app. for a busy sahm, this is a life saver to help keep me on track for my weight loss goals. I love that almost everything i need to put into my meals i can find by searching for it. Also the bar code scanner is AMAZING. So far im down 9 pounds in 10 days. this is going to be my go to app to help me finally lose that baby weight, best app ever!!!!",5,3
A Google user,2018-11-21T16:20:00,"A lot of the time, the app is really useful and functional. However, it does get buggy from time-to-time and won't update correctly, won't open, or won't enter food correctly. This is rare. I wish MFP was more diligent about editing enteries for accuracy. Lots of foods in the database are old or simply inaccurate.",5,3
Nefarious Whim,2020-05-12T20:59:15,"The app got even better than it was 8 years ago. Still doing the free version, hate ads so debating on premium, maybe. I've never been able to keep with logging my foods until now. Things I thought were healthy weren't and I've made better food choices because of this app. I've made it apart of my daily routine and am sticking with it this time around. Love all the new feed of healthy stuff to read about now too!",5,0
Jessica Hammond,2020-06-18T04:27:23,"I'm just getting started, but having never counted calories before, I'm finding this app surprisingly helpful and easy to use. I was away without internet or data over the weekend and really missed it, but I was able to log my food and exercise when I got home. It's making me very conscious of my food choices, and I'm becoming much more selective about what I ""spend"" my calorie intake on.",5,1
Amanda Haun,2022-11-06T02:14:05,"I'm giving this app 5 stars because I lost over 30 pounds using it. I loved how easy it was to track my food, that it worked with my samsung watch, and that it projected your weight 5 weeks out if everyday was like this day. It really motivated me to keep eating healthy, because the results WILL come. Now that they started charging for the scanner, I no longer need this app though. I can manually add food straight into my samsung app. Thank you for all you help fitnesspal! You helped me a lot!",5,1
Gwen Bailey,2020-06-04T16:34:59,I love the accountability this app provides. I especially look forward to logging in activities & getting credit for that. Knowing I have to journal whatever food I put in my mouth helps me to be more disciplined in deciding if the calories are worth it. The app won't provide a daily summary if my calorie consumption is too low so it also discourages under eating. I love all the features & that it's free!,5,2
A Google user,2019-01-17T12:20:28,Excellent App!! So easy to use that I have been usintg it for 6+ years!!! Love how you track Fitness and Food to help maintain or lose weight. Scanning barcodes is my favorite feature. Challenges can be joined to help motivate both fitness and food choices. Groups of friends can also use this app as a support system for accountability. Goals can be set to keep you in check daily.,5,3
A Google user,2019-01-18T21:38:17,"Great for tracking food calories!!!! And it's quick and easy to input food. I love being able to scan a food's barcode if it's not already listed in the app. To track fitness calories, it was not as easy. I take classes like yoga sculpt, barre, and pilates and these were not options so I had to guess. If you do more standard cardio like running, bike, or swimming then you'd be better able to track calories burned because those options are in the app.",5,5
A Google user,2019-01-20T18:57:14,"I've used this app over the years and it helps me chart the progress I've made. It interfaces with things like my Fitbit and other apps like Runkeeper to have everything in one spot. Most foods are surprisingly already in the database, down to the brand name. It's easy to add foods or even combine foods into your favorite meals for easier data entry. I can even set target macros for the keto WOE I'm doing now and that helps me plan my meals. Love what a free app can do.",5,4
A Google user,2019-01-16T05:50:57,I like the ease of use... plenty of options to select foods from a variety of categories...also ability to scan purchase code to get nutrition information. That's helped me a lot. I love that the app alerts me to log meals. I'm pleased and look fwd to achieving my weight goals based on calorie counting goal per day. seeing it daily motivates me to follow through as well as make wiser calculated foos choices...It's low maintenance and high impact (which is what I needed),5,1
A Google user,2018-09-16T19:42:37,Love this app! Easy to use and helps you with calorie counting. I use the premium version and I find it worth every penny. I use it mainly for carb counting. MFP's food database is really good. I have used other calorie counting apps before and have had to manually enter some of the foods I eat. MFP is great in that I rarely run into that issue. You just need to be good.about logging in your food every day. You ca set reminders to help you do so.,5,1
A Google user,2019-02-15T14:58:10,"This app is the best of the best! It is so easy to use - just scan in the upc's of the food or beverage you had and the app automatically charts your daily nutrition! I am still learning about all the features. Exercise and activity is tracked so you can see what is still needed, as is your water intake. It is an important tool that helps me manage carbs and diabetes. I recommend it to everyone!",5,2
A Google user,2019-11-30T22:03:54,"It has a wide variety of exercises and foods to help you log easily. It helps track water, macros, and nutrients which is really helpful in knowing what you are getting too much/little of. It's by far the easiest app to navigate in this field. I have lost 14 lbs in about a month using this app as well as lowering my carb intake and exercising.",5,1
William Berry,2021-11-11T06:17:02,"So far, so good. I use it for the calorie tracking. Which has been the most helpful to me. The other aspects are ok. It's social aspects are also lacking, but I'm actually fine with that. As the calorie tracking is my primary use. Adding ones exercises is lacking, as I use machines only at my gym and this app doesn't support enough machine options for me. So yeah, great calorie tracking, only ok on everything else. Still love it.",5,24
Christel Tebbutt,2022-01-18T13:44:41,"I have been using this app about a well and so far I like it. It did not get 5 stars because I feel the calories burned during exercise is higher than it should be. Also, out would be nice if water could be tracked by the ounce since that its usually how liquids are measured. Update: I restarted using this app. Many improvements including tracking water by the ounce and importing recipes from a website to track meal calories. I'm thrilled!",5,0
Jennifer Joy,2020-11-09T04:53:44,I have changed my way of eating & this app is a necessary part of keeping track. Since starting I have lost 60 lbs and have gone into remission from active MCTD. This app has an amazing database of foods and tells me my carb/calorie/fat content so that I can monitor my way of eating. It allows you to save repeat foods/meals without having to re-enter individual ingredients. The recipe feature is very helpful. Enter ingredients & total savings & you can enter it into your diary.,5,1
Tracy Johnson,2023-09-04T09:58:32,"I really like mfp but not enough to pay the price of premiem. There are other apps out there that scan barcodes &/or enter foods & nutrician manually for free. It just doesn't offer anything that special to pay $75 for premium, for me. But for those that can afford it & will use it for a year, it is helpful letting you know where you stand at reaching your goal for weight loss.",5,1
A Google user,2018-09-30T15:09:48,"This app has come a long way. Now not only can I scan or find foods easily, but when uploading a recipe say from a book or your own you can now search online and if you find a recipe that's close enough use that one cause it will let you scan the items you find use during edit. Which I have to say it's a super neat feature. I'm glad there are a lot of new features that I can use even with paying the premium.",5,2
Jonathan,2025-06-24T03:34:51,"I'm rather new, but I have been trying to navigate many apps to see what I like and what works. I find a simple bit fit and myfitness pal to be the best combination for success. if you are counting calories, you should log, and this is where the program really shines. If you are new as well, I suggest go straight to Fitbit and MFP and avoid decission fatigue. It's just enough to keep you focused on the prize.",5,2
A Google user,2019-09-04T03:55:09,"I really enjoy using this application! It's very convenient and thorough. They have complete info on nearly every food or restaurant I've ever input. The scan feature allows you to quickly log any commercial product by it's barcode. It can link with my Fitbit and gives percentages of all nutrients logged so if you have a protein, carb, fat, sodium goal, you can easily track it. Although there is a premium fee-based version available, this free one more than meets my needs.",5,1
A Google user,2019-05-09T17:41:09,"I had heard about this app and now use it and LOVE it. It keeps me accountable, and it's like a psychological game with yourself in the sense that you want to do better in the areas you see you could do better, like striving to exceed the number of steps from the day prior. I also LOVE that I can sync it with my Garmin fitness tracker. Superb!! 5 stars from me!!",5,3
A Google user,2019-11-09T05:20:47,"This app has been exceedingly helpful, for me. My weight had caused some health problems, and step 1 was getting weight off. The scanning option makes life so easy ! Between this app, and a simple food scale, im down 30 lbs, in 5 months. I input recipes we use frequently, so i can grab them easily, the next time. Being able to see everything, under the nutrition portion, really helps me make food decisions, based on what i have had already, for the day. Dont like that premium is subscription",5,5
A Google user,2019-03-27T16:10:05,"I've tried several calorie counting, weight management apps and this is the only one I've used that allows me to print out my daily intake diary to show my doctor. I am still exploring all that is available via this app. Also, I want to mention that just about every food I enter in my food diary, the nutritional components are already listed which means I don't have to take the time to do that. Someone has already eaten that item and written it down. Yay.",5,1
L M,2021-04-10T15:55:30,"Best free food tracker app available IMO. Love this app, it keeps me accountable to my food intake. It's very intuitive and even offers a macro breakdown of what you're eating. Offers helpful suggestions and content (so appreciated) to keep me motivated and on target. Would recommend to anyone making a lifestyle change with regard to fitness and diet.",5,0
A Google user,2018-09-12T19:24:37,"I don't have the premium version, but the app used regularly is great for keeping track of calories lost and gained based on exercise and consumption of food. I never not find a food on the calorie menu so it's very easy and the app reminds you when you forget to log the food you eat. Great for weight loss, maintenance and gain.",5,0
M R,2020-05-14T16:23:33,Life changing app! Highly recommended. I started off 205 at my highest. Now I'm around 165 and feel great. One day I just decided to dedicate myself to logging in my food in this app daily . The key is staying consistent and staying as close as possible to caloric deficit as possible. I also managed to fit in healthy ice cream healthy pizza and still see results. One thing that helped alot as well was exercising on top of it all 1-3x a week. This app is a great starting point. Good luck to all!,5,0
A Google user,2019-01-05T20:58:55,"I'm a yo-yo dieter. I have a hard time sticking to diets. One thing that has always worked, no matter what diet I was following, was MyFitnessPal. It is so easy to use. I can scan most of the foods I eat and it adds everything for me. If it can't be scanned, it is probably listed in their database and a quick search pulls it up. I tend to overeat and this app really helps me stay mindful of how many empty calories I consume a day.",5,0
A Google user,2020-01-23T06:45:12,Helps keep me accountable and it's a great way to have a goal and a guide to stick to it. Has a food list history search for common foods you'll eat. It counts calories for you and has a whole dictionary of meals from restaurants which is extremely helpful -EXAMPLE- the Rock didnt have a nutrition menu so I wasnt sure how to calculate my meal so I entered the name and it had it on the list.,5,0
D Puorro,2020-09-19T16:06:38,"I purchased the premium service several times over several years. In summary, logging food is one of the best ways to accurately track calories and spot trends. Unfortunately, it was hitting over 6 tracking sites in several domains due to Ads on the non-premium version. A few end in .xyz. I worked with the Devs and the issue is resolved.",5,0
Scott Smith,2020-05-31T21:11:58,Just by counting calories has made me aware of how much I actually eat. Losing weight by trying to stay near my allowance. Database has found everything I've scanned. I wish that the servings would be more consistent. Some solid food is measured by volume and some by mass. Solid food should be listed by mass and liquids by volume. This would make calculating serving size easier. 5/31/20 I'm still using this app to count calories and workouts. I've been using it for 6 years and have kept my down,5,0
A Google user,2019-01-06T06:42:36,"absolutely love this app, I use it to log all my food through out the day. Its easy to find foods or scan them in. It remembers what I eat most so I can just select them and go. It tells me the kinds of nutrients I'm getting, things I'm eating too much of, and what my foods are high in. It let's me post pictures of my weight progress. And my friend has the app too so we can follow each other which helps motivate me. I even pay for premium which I very, very rarely do on apps.",5,0
Kitty Ashley,2025-01-05T01:34:06,"Good, simple way to track calories, carbs, protein, fat, fiber, and calcium. Some items in database are misspelled, and some have incorrect values, so you have to keep an eye on them, but overall really pleased. Love the scan function for foods! Had to add this, though, as an update, if you have to reinstall it due to glitches in the goals (like 3,500,000 mg needed for daily Na intake), don't expect to get help quickly when you can't log in ( even after 2 pw resets). Might have to wait.....",5,2
